trade_date,nav,val_300,val_500,val_bond,w_300,w_500,w_bond
2015-01-05,999686.8801652893,158937.82113371693,154083.96954613758,686665.0894854348,0.1589876033057851,0.1541322314049587,0.6868801652892562
2015-01-06,1001892.3615797551,158916.8413413273,155871.65176081186,687103.868477616,0.15861668122786343,0.15557724336278791,0.6858060754093487
2015-01-07,1003114.2536328483,159036.0289723333,156109.97951635413,687968.2451441608,0.15854228807573337,0.15562532278949376,0.6858323891347728
2015-01-08,998340.1470512256,155346.55213620415,154852.66974132942,688140.925173692,0.15560483327756344,0.1551101297475757,0.6892850369748608
2015-01-09,998107.6202721194,154799.42157958043,153857.74133824138,689450.4573542976,0.15509291627026817,0.1541494506336845,0.6907576330960473
2015-01-12,996303.0488247732,153352.66618549768,151672.19212253165,691278.1905167438,0.15392170722190462,0.15223499747535882,0.6938432953027365
2015-01-13,999978.3793323489,153372.90873743416,153744.94430007815,692860.5262948367,0.15337622483381688,0.15374826844029202,0.6928755067258912
2015-01-14,999508.1003781179,152865.8579011482,153023.72676636648,693618.5157106032,0.1529410895652756,0.15309903612434655,0.6939598743103779
2015-01-15,1008011.9993752704,157304.47095116595,154994.97841457083,695712.5500095336,0.15605416507805225,0.15376302912131118,0.6901828058006365
2015-01-16,1015110.7436097373,158658.54783711358,157016.8879079889,699435.3078646348,0.15629678715932338,0.1546795646646752,0.6890236481760014
2015-01-19,998281.0160488868,146438.19050705558,150240.66709343172,701602.1584483995,0.14669034886253346,0.15049937310044398,0.7028102780370226
2015-01-20,1005528.4302368751,148230.59395886195,155662.70252816658,701635.1337498465,0.14741561700442707,0.1548068635826604,0.6977775194129124
2015-01-21,1016596.0514892498,154893.70738790676,159621.67204156544,702080.6720597775,0.15236504918644642,0.15701582925462837,0.6906191215589251
2015-01-22,1019831.3071797166,155711.08148179273,161853.5022600506,702266.7234378733,0.15268317454619287,0.15870615181215303,0.6886106736416541
2015-01-23,1018725.7617374272,155890.9277809042,160235.93835846367,702598.8955980594,0.15302541040587184,0.15729055294055072,0.6896840366535775
2015-01-26,1024727.7627835663,157473.2206978804,163811.1226151177,703443.4194705682,0.15367322562835695,0.1598581872810217,0.6864685870906214
2015-01-27,1024365.551101234,156030.60852306712,164233.10006697424,704101.8425111927,0.15231926567164228,0.16032665281492242,0.6873540815134352
2015-01-28,1020770.6904983663,153865.3717685925,163268.88753648102,703636.4311932927,0.15073451187501427,0.159946684457377,0.6893188036676088
2015-01-29,1016705.9216881134,151965.74988873748,162167.63889004747,702572.5329093285,0.1494687368756713,0.15950299435729492,0.6910282687670338
2015-01-30,1010189.2074548287,149896.58423825243,160219.84337933912,700072.7798372371,0.14838466213266802,0.1586037963947496,0.6930115414725824
2015-02-02,1006971.9880274698,146386.1561319768,159556.05256821853,701029.7793272745,0.14537261996605158,0.15845133178011095,0.6961760482538375
2015-02-03,1014841.3919630211,150029.85394425783,162346.04970342637,702465.4883153369,0.14783576540374757,0.15997184485094587,0.6921923897453065
2015-02-04,1013653.0516433597,148472.69409017038,161664.6833328211,703515.6742203683,0.14647289212957307,0.15948719640386447,0.6940399114665625
2015-02-05,1012642.7534614754,146952.9275934634,160831.14022555706,704858.6856424549,0.14511823354400177,0.15882317794285747,0.6960585885131407
2015-02-06,1009651.3631027013,144573.17188401485,157433.9040505726,707644.2871681139,0.14319118179540252,0.15592897687650475,0.7008798413280928
2015-02-09,1011216.0034335867,146035.38494444976,156585.9650433562,708594.6534457807,0.14441561886736978,0.15484917615194788,0.7007352049806823
2015-02-10,1011679.2357598807,148698.77829506664,158740.11816445767,704240.3393003565,0.14698213923840964,0.1569075578043535,0.6961103029572369
2015-02-11,1018238.9580782366,149885.0971483047,160477.52875776766,707876.3321721642,0.14720031674214162,0.15760301399255375,0.6951966692653047
2015-02-12,1021647.3290881056,150267.00437583856,161602.6367118884,709777.6880003787,0.1470830492063859,0.1581784947807092,0.694738456012905
2015-02-13,1026581.1999815146,151443.44475309702,164103.76072027828,711033.9945081393,0.1475221295264554,0.1598546327589413,0.6926232377146033
2015-02-16,1028838.4390165897,152737.83187540175,166960.8071944183,709139.7999467696,0.1484565759628844,0.16228087993485837,0.6892625441022572
2015-02-17,1032481.7844244262,153734.59896622063,168138.04784594613,710609.1376122594,0.14889812225783963,0.1628484399264026,0.6882534378157578
2015-02-25,1030489.3247044373,151831.97956941466,168008.4134110569,710648.9317239657,0.14733969186237109,0.16303750983470375,0.6896227983029252
2015-02-26,1034793.9950756738,155653.89415913596,169800.8951737395,709339.2057427984,0.15042017531977764,0.16409149645415372,0.6854883282260686
2015-02-27,1036617.0782358914,155939.67470881212,171192.07390789792,709485.3296191813,0.15043131932013826,0.16514494841164643,0.6844237322682153
2015-03-02,1039168.1221266482,157180.17482112072,174643.13492580724,707344.8123797203,0.15125577033623097,0.16806051995552138,0.6806837097082477
2015-03-03,1034172.934733438,153105.12160870834,174042.01325539264,707025.799869337,0.14804595678978175,0.1682910153708989,0.6836630278393193
2015-03-04,1038289.1291597403,154105.51047329966,176652.29537019704,707531.3233162436,0.1484225406443513,0.1701378646939673,0.6814395946616814
2015-03-05,1035553.4144839201,152600.6701635279,176611.48868996653,706341.2556304256,0.14736146685352602,0.1705479275330118,0.6820906056134621
2015-03-06,1032388.7621129917,151822.71194703423,174450.82373733347,706115.2264286239,0.14705963249376955,0.1689778406540233,0.683962526852207
2015-03-09,1034920.0013731391,154407.79726335636,176703.85612590113,703808.3479838816,0.14919780954903472,0.1707415605954559,0.6800606298555094
2015-03-10,1035148.4625827397,153659.6914856154,178531.3274059552,702957.443691169,0.1484421771754632,0.17246929678136402,0.6790885260431727
2015-03-11,1038613.9295264649,153836.09281144087,178144.62855079392,706633.2081642301,0.14811672406664075,0.17152150908664915,0.6803617668467101
2015-03-12,1041531.598507354,156812.35969906382,178066.24491423156,706652.9938940586,0.1505593876592853,0.17096576346740025,0.6784748488733144
2015-03-13,1044017.9731799641,157895.30585514556,180041.35570282023,706081.3116219983,0.15123811075226395,0.17245043699241502,0.676311452255321
2015-03-16,1053051.039635369,152953.48778174885,74627.37739564705,825470.1744579731,0.14524793388429752,0.07086776859504135,0.783884297520661
2015-03-17,1056824.083000045,155077.09400611065,75787.31072250761,825959.6782714267,0.14673879645691615,0.0717123236890736,0.7815488798540102
2015-03-18,1061568.0584711146,158747.9238983293,77047.12318864786,825773.0113841374,0.14954097632417493,0.07257859971748983,0.7778804239583352
2015-03-19,1061946.01005827,158487.25980728824,77670.04917962807,825788.7010713537,0.1492422950942599,0.07313935778652837,0.7776183471192117
2015-03-20,1065042.6117416122,160668.04450223653,78453.7399758505,825920.8272635251,0.15085597771482956,0.07366253623182169,0.7754814860533487
2015-03-23,1070771.6503972483,163948.88597097222,80357.65533758444,826465.1090886918,0.15311283774663664,0.07504649129230527,0.7718406709610581
2015-03-24,1071136.587936221,163989.54529469303,80689.37173881798,826457.67090271,0.15309863106315394,0.07533060923096999,0.7715707597058761
2015-03-25,1070769.0492507883,162642.53516964242,81591.15615737102,826535.3579237749,0.15189319796219602,0.07619865013324763,0.7719081519045563
2015-03-26,1070361.5305917049,163038.24445771016,81013.572362933,826309.7137710617,0.15232072509891237,0.0756880456252459,0.7719912292758417
2015-03-27,1071545.1091492493,163933.81353451635,81946.92973012634,825664.3658846065,0.15298825232348007,0.07647548295487804,0.7705362647216418
2015-03-30,1073477.1797824274,168741.66441785663,82972.41360876914,821763.1017558017,0.15719166424390804,0.07729313223555065,0.7655152035205414
2015-03-31,1066660.5834658316,167215.56480486153,83059.53464305834,816385.4840179117,0.15676548603824728,0.07786875781345397,0.7653657561482987
2015-04-01,1074536.8171829123,170215.91368415515,85036.43462709777,819284.4688716594,0.15840863799381596,0.07913775802492815,0.762453603981256
2015-04-02,1077680.6458513187,170252.33988968356,86581.46160783751,820846.8443537977,0.15798032612452825,0.08034055537801933,0.7616791184974525
2015-04-03,1079984.167607896,172141.11934841968,87936.8943893082,819906.1538701683,0.15939226195297154,0.0814242440091353,0.7591834940378933
2015-04-07,1085205.756549491,175835.4399107561,90047.11604396843,819323.2005947665,0.16202958641671847,0.08297699814114634,0.7549934154421352
2015-04-08,1084735.2228686435,177311.402593367,89413.99477106328,818009.8255042131,0.1634605375166642,0.0824293273473714,0.7541101351359644
2015-04-09,1083212.446061267,175921.8131312428,88705.7465184817,818584.8864115425,0.1624074887349407,0.08189136566979997,0.7557011455952592
2015-04-10,1089418.9651660104,179317.8078119283,91065.2306701268,819035.9266839552,0.1645994916056956,0.08359064196780334,0.751809866426501
2015-04-13,1095152.1110714297,182481.87053076975,93020.03691169174,819650.2036289682,0.16662696321905518,0.08493800630187037,0.7484350304790744
2015-04-14,1097200.1087187482,183188.07536972384,92986.45667836662,821025.5766706577,0.16695958550682347,0.08474885842560775,0.7482915560675688
2015-04-15,1090946.5934568325,180807.72951836966,89353.84776176955,820785.0161766933,0.1657347212070689,0.08190487811015396,0.7523604006827771
2015-04-16,1103013.2704781836,186298.67945611305,90605.96323045522,826108.6277916153,0.1688997625344507,0.08214403729809641,0.7489562001674529
2015-04-17,1107333.2752725452,189707.57269280098,91392.33238533235,826233.3701944118,0.17131931002986317,0.08253371810111837,0.7461469718690185
2015-04-20,1105155.4247656192,65647.14558266848,12558.58437233657,1026949.6948106142,0.05940082644628098,0.011363636363636354,0.9292355371900827
2015-04-21,1107552.533711639,67058.88744842377,12995.56031557202,1027498.0859476432,0.06054691349375139,0.011733583663089275,0.9277195028431593
2015-04-22,1111807.5964283997,68810.39852968916,13333.145985889634,1029664.0519128208,0.061890563394905306,0.011992314163638914,0.9261171224414557
2015-04-23,1110951.8976586955,68826.0184901554,13472.957354697674,1028652.9218138424,0.061952293915879336,0.012127399379839586,0.925920306704281
2015-04-24,1108609.9127397826,68270.73017297684,13486.403366137663,1026852.7792006681,0.06158228371263141,0.012165147732449734,0.9262525685549189
2015-04-27,1113075.9776476522,69794.32805824715,13636.857682090294,1029644.7919073147,0.06270401074125127,0.012251506596081697,0.925044482662667
2015-04-28,1112872.8208493593,68840.1000050348,13241.93428361696,1030790.7865607075,0.06185801172904476,0.01189887472812081,0.9262431135428344
2015-04-29,1113988.760582098,69311.37932966926,13501.078937547345,1031176.3023148814,0.06221910110964822,0.012119582724059585,0.9256613161662921
2015-04-30,1114961.4285509395,68956.57437888069,13567.423239446454,1032437.4309326124,0.06184660079990404,0.012168513539593353,0.9259848856605026
2015-05-04,1112514.1708737607,69506.15827668036,13632.791084614108,1029375.2215124662,0.06247664982288785,0.01225403814308901,0.9252693120340231
2015-05-05,1108820.178518111,66734.66972155601,13134.3898753517,1028951.1189212031,0.060185295158268086,0.011845374146153465,0.9279693306955784
2015-05-06,1104025.2618022347,66103.02607264149,12948.01288302046,1024974.2228465726,0.059874559359931204,0.011728004177987597,0.9283974364620811
2015-05-07,1104483.8828594373,64894.596653007524,12660.437516888576,1026928.8486895411,0.05875558499323649,0.011462763480180013,0.9297816515265834
2015-05-08,1109814.7345477643,66176.719199081,13137.508123399972,1030500.5072252834,0.05962861830812436,0.011837568662983505,0.9285338130288923
2015-05-11,1113931.850722416,68094.91758178556,13709.26561443846,1032127.6675261921,0.061130236591784404,0.012307095452515893,0.9265626679556997
2015-05-12,1114884.5961887224,68920.77274221745,14009.553368457118,1031954.2700780478,0.06181875054855531,0.012565922442869278,0.9256153270085753
2015-05-13,1114128.473930761,68500.01142462621,14136.507941082074,1031491.9545650528,0.061483045292748915,0.012688400190695249,0.9258285545165559
2015-05-14,1116019.8035767176,68243.68438187525,14118.031525203081,1033658.0876696394,0.0611491697218651,0.012650341400713843,0.9262004888774211
2015-05-15,1114842.1568821743,67034.26980725965,14005.087273001456,1033802.7998019132,0.06012893340410735,0.012562394762832448,0.9273086718330602
2015-05-18,1114754.917775852,66419.7666559365,14262.528787253768,1034072.6223326615,0.05958239393862157,0.012794317889810457,0.9276232881715679
2015-05-19,1115382.5654873897,68685.67699540377,14616.92410255945,1032079.9643894265,0.061580375308619005,0.01310485259035072,0.9253147721010303
2015-05-20,1114930.5534749571,69029.72355147375,14861.202138161423,1031039.627785322,0.06191392220468399,0.013329262609086106,0.92475681518623
2015-05-21,1115389.2980258456,70279.09251803189,15408.867159356949,1029701.3383484567,0.06300857704338794,0.013814788421073677,0.9231766345355383
2015-05-22,1118151.1740953287,71881.24499016546,15663.483280298164,1030606.445824865,0.06428580200554991,0.014008377081007084,0.921705820913443
2015-05-25,1120673.2001493617,74032.14748400617,16083.04534344423,1030558.0073219113,0.06606042463952852,0.014351235794075119,0.9195883395663963
2015-05-26,1122448.8299935502,75475.55226350184,16617.25977757207,1030356.0179524762,0.06724186461483107,0.014804469774954069,0.9179536656102147
2015-05-27,1121353.6203983203,75221.72798123969,16815.503686718504,1029316.388730362,0.06708118350259563,0.01499571890689166,0.9179230975905127
2015-05-28,1115523.7056604205,70177.96067664161,15808.053229839827,1029537.6917539391,0.0629103266210684,0.014170970235438455,0.9229187031434932
2015-05-29,1109829.6526194587,70276.98177915635,15965.70694470102,1023586.9638956013,0.06332231402655909,0.014385727491618375,0.9222919584818225
2015-06-01,1109161.3221714983,73693.70807929538,16801.032732047777,1018666.5813601551,0.06644092848010515,0.015147510462368976,0.9184115610575259
2015-06-02,1112680.0428522083,74937.73156538195,17438.732730425385,1020303.5785564008,0.06734885922217944,0.01567272895964189,0.9169784118181786
2015-06-03,1118582.3596363442,74672.37705790893,17588.65351570885,1026321.3290627265,0.06675626199056565,0.01572405765582339,0.917519680353611
2015-06-04,1120022.5948695543,75221.5177187928,17565.29578383999,1027235.7813669214,0.0671607144921515,0.01568298341863877,0.9171563020892096
2015-06-05,1124498.9979475604,75934.84337132011,17852.207325173233,1030711.9472510671,0.06752771101612065,0.015875698740289806,0.9165965902435896
2015-06-08,1127068.2846577954,77723.41267208819,17670.239775907743,1031674.6322097996,0.0689606953989366,0.015678056082709172,0.9153612485183543
2015-06-09,1124472.27870623,77196.60338099678,17642.727212576654,1029632.9481126565,0.06865140639110812,0.01568978404063071,0.9156588095682611
